review,rating,date,bank,source,LemmatizedText
"The app is full of bugs here and there, perhaps it's from the backend side idk. For instance the transaction history you see on top is one made a couple of months ago and you have to refresh until you reach the top. it's just so bizarre. And you can't even search for a transaction you made. Someone with a lot of transactions will find it annoying. Even simple things like localising dates to Amharic dates are now correctly implemented.",2,2025-02-25,CBE,Google Play,app bug backend idk instance transaction history couple month ago refresh reach bizarre not search transaction lot transaction find annoying simple thing like localise date amharic date correctly implement
Good experience,5,2025-02-24,CBE,Google Play,good experience
My device install up updated all data access all function but can't support transaction i. e first login password works but can't conformation last transaction password,5,2025-02-24,CBE,Google Play,device install update datum access function not support transaction e login password work not conformation transaction password
Constantly crashing after new update,1,2025-02-24,CBE,Google Play,constantly crash new update
"Great UX, simple to use yet has all necessary features.",4,2025-02-24,CBE,Google Play,great ux simple use necessary feature
Nice 👍 this is app,5,2025-02-23,CBE,Google Play,nice app
"Why can't we use this app with Developer Mode turned on, when other big international banks apps allow it?",1,2025-02-22,CBE,Google Play,not use app developer mode turn big international bank app allow
It is Good application,4,2025-02-22,CBE,Google Play,good application
Guys after the last update it's crushing a lot like alot look in to it,3,2025-02-22,CBE,Google Play,guy update crush lot like alot look
The best app,5,2025-02-22,CBE,Google Play,good app
This is agood app,5,2025-02-22,CBE,Google Play,agood app
It have a bug it keeps shut down when I open the app. Without any notification. Please fix the bug.,3,2025-02-22,CBE,Google Play,bug keep shut open app notification fix bug
Very best and fast money transferring app,5,2025-02-22,CBE,Google Play,well fast money transfer app
Why is it so hard to use this app why don't you make it simple like other apps sometimes it doesn't function right,1,2025-02-22,CBE,Google Play,hard use app not simple like app not function right
Very best app,5,2025-02-22,CBE,Google Play,good app
couldnt update the app,1,2025-02-22,CBE,Google Play,not update app
"Too much commission and service charges, not fair at all this is stealing",1,2025-02-21,CBE,Google Play,commission service charge fair stealing
It is easy and user friendly,5,2025-02-21,CBE,Google Play,easy user friendly
When I open the app it turns off keep says (app has a bug ) the app needs update,2,2025-02-21,CBE,Google Play,open app turn say app bug app need update
Solve unwanted time and the time to losses cbe office,5,2025-02-21,CBE,Google Play,solve unwanted time time loss cbe office
I faced a big problem with this due to Developer mode problem How can you help me pls?,5,2025-02-21,CBE,Google Play,face big problem developer mode problem help pls
utilizes too much power & Crashes often,3,2025-02-20,CBE,Google Play,utilize power crash
Most effective so far.,5,2025-02-20,CBE,Google Play,effective far
Not working normally,1,2025-02-20,CBE,Google Play,work normally
this is the simplest bookeeping system or method. I like it .,5,2025-02-19,CBE,Google Play,simple bookeeping system method like
These days the App is Crashing immediately after Login please check,5,2025-02-19,CBE,Google Play,day app crash immediately login check
I gave it 5🌟 BC this app deserves. Thank you for your services. Appreciated.,5,2025-02-19,CBE,Google Play,give bc app deserve thank service appreciate
fantastic and best,5,2025-02-18,CBE,Google Play,fantastic good
"It lags before showing the transaction and you have to use the one in the sms message , why doesn't it work on the app it just says loading",1,2025-02-18,CBE,Google Play,lag show transaction use sms message not work app say loading
Very amazing application,5,2025-02-18,CBE,Google Play,amazing application
